V [kph],Yaw gain [dB]
10.0,0.06366182836771071
20.0,0.12363996043521265
30.000000000000004,0.1769285208775655
40.0,0.22163120567375882
50.0,0.2570429775858523
60.00000000000001,0.28344671201814053
70.0,0.30177616830488013
80.0,0.3132832080200501
90.0,0.3192848020434227
100.0,0.32100667693888035
110.0,0.3195073777158127
120.00000000000001,0.31565656565656564
130.0,0.310144097719248
140.0,0.30350329517863334
150.0,0.2961383558398484
160.0,0.28835063437139563
170.0,0.28036150141829935
180.0,0.2723311546840958
190.0,0.2643735737741415
