theta_2,theta_1,omega_n,A
1.5269050859054667,2.6,6.283185307179586,
1.5243520517817317,2.585858585858586,6.283185307179586,
1.5217801156692654,2.571717171717172,6.283185307179586,
1.5191891107497117,2.557575757575758,6.283185307179586,
1.5165788698396891,2.543434343434344,6.283185307179586,
1.5151515151515151,2.5357680066031456,6.283185307179586,
1.5139605927617832,2.529292929292929,6.283185307179586,
1.5113362688803915,2.515151515151515,6.283185307179586,
1.508692171845364,2.5010101010101016,6.283185307179586,
1.5060281269879658,2.4868686868686867,6.283185307179586,
1.5033439594629683,2.472727272727272,6.283185307179586,
1.501010101010101,2.4605285128005328,6.283185307179586,
1.500642985048783,2.458585858585859,6.283185307179586,
1.497943578338039,2.4444444444444446,6.283185307179586,
1.495223474811509,2.43030303030303,6.283185307179586,
1.4924824919845254,2.416161616161616,6.283185307179586,
1.4897204474558807,2.4020202020202026,6.283185307179586,
1.4869371590543248,2.3878787878787877,6.283185307179586,
1.486868686868687,2.387534576964864,6.283185307179586,
1.4841579617782084,2.3737373737373737,6.283185307179586,
1.4813577306806458,2.35959595959596,6.283185307179586,
1.4785356339236018,2.3454545454545452,6.283185307179586,
1.4756914818658187,2.3313131313131312,6.283185307179586,
1.4728250854896061,2.3171717171717177,6.283185307179586,
1.4727272727272729,2.3166943933369053,6.283185307179586,
1.4699621107881193,2.303030303030303,6.283185307179586,
1.4670773354278537,2.2888888888888888,6.283185307179586,
1.4641696511615643,2.2747474747474747,6.283185307179586,
1.4612388617201435,2.2606060606060607,6.283185307179586,
1.4585858585858584,2.2479103269843823,6.283185307179586,
1.4582875547537049,2.2464646464646463,6.283185307179586,
1.4553373095396676,2.2323232323232323,6.283185307179586,
1.4523632574024175,2.2181818181818183,6.283185307179586,
1.4493651949051036,2.204040404040404,6.283185307179586,
1.4463429201787585,2.18989898989899,6.283185307179586,
1.4444444444444444,2.1810989289507896,6.283185307179586,
1.4433067447836163,2.1757575757575762,6.283185307179586,
1.4402633099562412,2.1616161616161618,6.283185307179586,
