theta_1,theta_2,omega_n,A
0.020943951023931952,0.003490658503988659,24.974778411319143,0.001616045603698453
0.021190765261587717,0.003490658503988659,24.94141386051546,0.0016388987738517643
0.02143757949924348,0.003490658503988659,24.908774413373532,0.0016617519440050759
0.021684393736899243,0.003490658503988659,24.876836604952672,0.0016846051141583872
0.021931207974555007,0.003490658503988659,24.845577975140692,0.0017074582843116988
0.022178022212210772,0.003490658503988659,24.814977015283514,0.0017303114544650101
0.022424836449866536,0.003490658503988659,24.78501311818948,0.0017531646246183217
0.022671650687522298,0.003490658503988659,24.755666531261458,0.001776017794771633
0.022918464925178062,0.003490658503988659,24.726918312530255,0.0017988709649249446
0.023165279162833827,0.003490658503988659,24.698750289381472,0.0018217241350782561
0.02341209340048959,0.003490658503988659,24.67114501978478,0.0018445773052315675
0.023658907638145356,0.003490658503988659,24.64408575585007,0.001867430475384879
0.023905721875801117,0.003490658503988659,24.617556409548655,0.0018902836455381904
0.02415253611345688,0.003490658503988659,24.591541520450765,0.001913136815691502
0.024399350351112646,0.003490658503988659,24.566026225341922,0.0019359899858448133
0.02464616458876841,0.003490658503988659,24.540996229591563,0.001958843155998125
0.024892978826424175,0.003490658503988659,24.516437780156778,0.0019816963261514364
0.025139793064079936,0.003490658503988659,24.492337640113213,0.0020045494963047477
0.0253866073017357,0.003490658503988659,24.46868306461287,0.002027402666458059
0.025633421539391466,0.003490658503988659,24.445461778176366,0.002050255836611371
0.025880235777047227,0.003490658503988659,24.422661953233856,0.0020731090067646818
0.026127050014702995,0.003490658503988659,24.40027218983494,0.002095962176917994
0.026373864252358756,0.003490658503988659,24.37828149645399,0.002118815347071305
0.02662067849001452,0.003490658503988659,24.356679271822237,0.0021416685172246167
0.026867492727670285,0.003490658503988659,24.33545528772302,0.002164521687377928
0.027114306965326046,0.003490658503988659,24.314599672691113,0.0021873748575312393
0.02736112120298181,0.003490658503988659,24.294102896560975,0.0022102280276845507
0.027607935440637575,0.003490658503988659,24.273955755812736,0.0022330811978378625
0.02785474967829334,0.003490658503988659,24.25414935966827,0.002255934367991174
0.028101563915949104,0.003490658503988659,24.234675116892713,0.0022787875381444856
0.028348378153604865,0.003490658503988659,24.21552472326009,0.0023016407082977965
0.02859519239126063,0.003490658503988659,24.196690149644223,0.0023244938784511083
0.028842006628916395,0.003490658503988659,24.178163630698826,0.0023473470486044196
0.02908882086657216,0.003490658503988659,24.159937654092985,0.0023702002187577314
0.029335635104227924,0.003490658503988659,24.142004950270444,0.0023930533889110427
0.029582449341883685,0.003490658503988659,24.12435848270308,0.002415906559064354
0.02982926357953945,0.003490658503988659,24.106991438611058,0.0024387597292176654
0.030076077817195214,0.003490658503988659,24.089897220123678,0.002461612899370977
0.030322892054850975,0.003490658503988659,24.0730694358566,0.002484466069524288
0.030569706292506743,0.003490658503988659,24.056501892882853,0.0025073192396776003
0.030816520530162504,0.003490658503988659,24.040188589076116,0.002530172409830911
0.03106333476781827,0.003490658503988659,24.024123705806414,0.002553025579984223
0.03131014900547403,0.003490658503988659,24.008301600969258,0.0025758787501375343
0.031556963243129794,0.003490658503988659,23.992716802330758,0.0025987319202908457
0.03180377748078556,0.003490658503988659,23.97736400117196,0.0026215850904441574
0.032050591718441324,0.003490658503988659,23.962238046216832,0.0026444382605974688
0.03229740595609709,0.003490658503988659,23.94733393782929,0.0026672914307507806
0.03254422019375285,0.003490658503988659,23.93264682246535,0.002690144600904092
0.032791034431408614,0.003490658503988659,23.918171987367465,0.002712997771057403
0.03303784866906438,0.003490658503988659,23.903904855488697,0.002735850941210715
0.03328466290672014,0.003490658503988659,23.889840980635327,0.002758704111364026
0.033531477144375904,0.003490658503988659,23.875976042816806,0.0027815572815173373
0.03377829138203167,0.003490658503988659,23.862305843792967,0.002804410451670649
0.03402510561968743,0.003490658503988659,23.848826302808618,0.0028272636218239604
0.034271919857343194,0.003490658503988659,23.83553345250655,0.0028501167919772713
0.03451873409499896,0.003490658503988659,23.822423435010112,0.0028729699621305835
0.03476554833265473,0.003490658503988659,23.809492498167376,0.0028958231322838957
0.03501236257031049,0.003490658503988659,23.796736991948983,0.0029186763024372066
0.03525917680796625,0.003490658503988659,23.78415336499253,0.002941529472590518
0.03550599104562202,0.003490658503988659,23.771738161286503,0.0029643826427438297
0.03575280528327778,0.003490658503988659,23.759488016987152,0.002987235812897141
0.03599961952093354,0.003490658503988659,23.74739965736231,0.0030100889830504524
0.03624643375858931,0.003490658503988659,23.735469893856074,0.003032942153203764
0.03649324799624507,0.003490658503988659,23.723695621268988,0.003055795323357075
0.03674006223390083,0.003490658503988659,23.712073815048253,0.0030786484935103864
0.0369868764715566,0.003490658503988659,23.7006015286832,0.003101501663663698
0.03723369070921237,0.003490658503988659,23.68927589120111,0.0031243548338170104
0.03748050494686812,0.003490658503988659,23.678094104758955,0.003147208003970321
0.03772731918452389,0.003490658503988659,23.667053442326846,0.0031700611741236327
0.03797413342217966,0.003490658503988659,23.656151245459057,0.0031929143442769444
0.03822094765983542,0.003490658503988659,23.645384922148775,0.003215767514430256
0.03846776189749118,0.003490658503988659,23.634751944763043,0.003238620684583567
0.03871457613514695,0.003490658503988659,23.62424984805427,0.003261473854736879
0.03896139037280271,0.003490658503988659,23.61387622724511,0.00328432702489019
0.03920820461045847,0.003490658503988659,23.60362873618355,0.003307180195043501
0.03945501884811424,0.003490658503988659,23.593505085565145,0.003330033365196813
0.03970183308577,0.003490658503988659,23.583503041219714,0.0033528865353501243
0.03994864732342576,0.003490658503988659,23.57362042245961,0.0033757397055034356
